area,bedrooms,age,price
3267,6,16,1950150
2598,4,2,1619100
1932,5,22,1139400
3831,1,22,1513950
1178,3,22,560100
4971,1,16,2116950
3631,1,3,1708950
2542,6,17,1608900
967,6,15,930150
4516,6,11,2587200
1118,1,10,473100
2550,2,4,1327500
2384,6,3,1747800
3165,5,24,1664250
3139,3,4,1712550
1274,3,11,768300
4753,3,3,2453850
1513,1,20,500850
2442,4,18,1308900
1684,3,12,937800
1407,4,14,903150
4428,5,3,2547600
4524,4,6,2425800
2130,5,22,1228500
3519,2,10,1673550
3514,6,8,2181300
880,5,7,891000
2175,1,5,1023750
2108,2,25,813600
1078,3,6,755100
1155,1,14,429750
1759,5,17,1136550
4685,1,21,1913250
3792,3,7,1961400
1892,1,18,701400
1725,4,22,926250
4484,3,22,2047800
3892,4,21,1916400
1222,4,4,969900
3796,6,13,2233200
4612,5,5,2600400
4678,1,10,2075100
2064,1,18,778800
955,3,14,579750
1004,2,6,601800
1428,3,1,987600
917,1,13,337650
935,1,6,450750
4942,2,24,2103900
938,2,20,362100
1195,5,20,837750
3734,5,14,2070300
3118,3,21,1448100
4193,3,24,1886850
3197,2,2,1648650
1416,2,7,772200
2286,4,14,1298700
2003,3,12,1081350
715,6,5,966750
4497,5,11,2458650
4650,5,11,2527500
1895,6,8,1452750
1512,1,2,770400
3902,3,2,2085900
2280,3,21,1071000
3461,5,17,1902450
4945,6,5,2870250
2026,1,23,686700
2063,6,25,1273350
1027,6,9,1047150
4412,6,5,2630400
4287,5,5,2454150
2514,5,23,1386300
4836,6,21,2581200
1154,3,13,684300
792,2,2,566400
4881,1,7,2211450
2197,1,11,943650
3686,4,12,1958700
3437,6,25,1891650
4254,6,2,2604300
3920,1,1,1869000
3396,4,22,1678200
3119,4,8,1763550
1217,3,20,607650
2992,4,11,1661400
1300,5,5,1110000
3377,5,15,1894650
1416,1,7,652200
4669,1,5,2146050
2656,1,22,985200
1275,6,11,1128750
3591,3,1,1960950
1324,5,20,895800
2446,3,24,1100700
1011,2,11,529950
916,4,18,622200
3164,5,12,1843800
1098,5,3,1049100
3550,5,4,2137500
3838,2,15,1742100
3981,2,17,1776450
4982,4,22,2391900
2468,1,7,1125600
1234,3,11,750300
4616,1,12,2017200
1009,4,15,709050
2605,3,23,1187250
4034,1,21,1620300
4119,6,17,2318550
1026,3,15,596700
1065,1,1,584250
2049,6,9,1507050
4668,1,18,1950600
4756,5,21,2425200
757,3,14,490650
1887,4,12,1149150
4419,4,14,2258550
4847,6,21,2586150
2205,5,3,1547250
981,6,9,1026450
1735,6,3,1455750
2105,2,7,1082250
3428,2,23,1437600
896,1,17,268200
1703,6,1,1471350
4438,6,2,2687100
3620,2,11,1704000
2842,3,19,1353900
1803,6,1,1516350
4514,3,3,2346300
1725,1,4,836250
1386,2,13,668700
739,2,16,332550
3795,3,10,1917750
3683,4,6,2047350
2808,5,9,1728600
2929,1,23,1093050
2845,5,9,1745250
3310,3,25,1474500
1783,6,24,1162350
2354,3,13,1224300
1423,6,4,1300350
1277,4,18,784650
2736,6,12,1771200
3620,1,15,1524000
4341,3,13,2118450
2895,3,2,1632750
2635,6,15,1680750
2229,6,7,1618050
1803,1,1,916350
4501,2,21,1950450
3061,2,8,1497450
2022,2,24,789900
1804,3,16,931800
3156,5,20,1720200
4841,5,13,2583450
3252,5,6,1973400
1426,5,24,881700
1719,6,11,1328550
715,3,14,471750
1174,2,9,633300
3593,6,25,1961850
1892,3,24,851400
3946,2,4,1955700
1667,5,22,1020150
3300,1,3,1560000
4274,3,25,1908300
3435,2,17,1530750
773,4,25,452850
2856,3,13,1450200
3703,4,14,1936350
2210,3,3,1309500
2467,1,4,1170150
1521,6,16,1164450
4592,3,19,2141400
3833,1,14,1634850
2672,3,10,1412400
4279,1,18,1775550
4335,4,8,2310750
4496,4,10,2353200
2718,5,18,1553100
1117,1,19,337650
3410,3,21,1579500
739,5,4,872550
4394,4,13,2262300
3085,4,21,1553250
4912,4,3,2645400
1296,2,6,733200
718,2,3,518100
2885,2,9,1403250
2758,4,5,1646100
3462,3,10,1767900
1033,4,6,854850
2869,1,24,1051050
2781,1,25,996450
4691,6,22,2500950
4207,2,8,2013150
2769,2,14,1276050
1688,4,13,1044600
750,1,14,247500
1376,1,23,394200
3332,3,23,1514400
3146,4,12,1715700
2483,3,5,1402350
3859,3,2,2066550
2877,2,9,1399650
3382,1,18,1371900
1496,4,14,943200
3883,6,5,2392350
3781,6,22,2091450
3123,3,5,1690350
992,5,8,926400
3069,2,25,1246050
2027,2,25,777150
3985,3,6,2063250
1602,3,24,720900
1454,5,25,879300
1575,3,24,708750
2313,1,10,1010850
4004,1,2,1891800
3956,2,2,1990200
4474,6,17,2478300
4707,6,25,2463150
4992,5,10,2696400
4230,2,11,1978500
3879,1,2,1835550
3377,6,25,1864650
4858,3,16,2306100
3798,5,15,2084100
846,1,7,395700
1429,5,16,1003050
3954,4,22,1929300
773,6,24,707850
2111,1,1,1054950
3805,2,17,1697250
987,3,17,549150
2743,2,10,1324350
1172,6,21,932400
1701,6,4,1425450
3366,5,24,1754700
3170,5,23,1681500
4357,3,15,2095650
2840,5,13,1683000
2174,5,1,1563300
1228,3,20,612600
1369,6,25,961050
2003,4,24,1021350
2255,4,25,1119750
726,6,11,881700
2866,4,9,1634700
4083,3,18,1927350
4610,3,15,2209500
3097,3,2,1723650
778,3,10,560100
3693,4,1,2126850
3539,1,2,1682550
3692,4,16,1901400
704,1,9,301800
1522,3,13,849900
3458,2,6,1706100
4914,6,11,2766300
2510,1,16,1009500
3691,4,25,1765950
1516,5,2,1252200
1603,6,25,1066350
1512,2,5,845400
4817,3,13,2332650
3513,2,8,1700850
2792,3,15,1391400
1094,4,24,612300
3169,4,1,1891050
2612,6,23,1550400
2398,6,9,1664100
3868,1,14,1650600
1283,6,20,997350
4826,1,21,1976700
1654,1,18,594300
1675,3,11,948750
2969,3,21,1381050
4359,1,19,1796550
1592,4,18,926400
727,4,13,612150
2112,3,25,935400
4753,3,20,2198850
1915,5,20,1161750
2848,2,23,1176600
2997,2,15,1363650
3695,1,13,1587750
1657,3,3,1060650
2919,1,21,1118550
1708,1,10,738600
788,2,5,519600
1770,4,6,1186500
4916,4,9,2557200
3780,6,25,2046000
4774,3,3,2463300
3723,3,8,1915350
4960,4,2,2682000
1067,6,20,900150
2827,5,21,1557150
4593,6,5,2711850
3409,3,19,1609050
2892,5,20,1601400
2318,5,20,1343100
1105,2,3,692250
3150,1,13,1342500
2715,1,22,1011750
922,4,21,579900
1628,6,12,1272600
1408,1,20,453600
949,6,24,787050
2462,1,11,1062900
4284,1,16,1807800
3344,1,13,1429800
2257,5,2,1585650
4157,1,10,1840650
2721,2,10,1314450
1536,1,6,721200
1577,3,21,754650
2072,3,20,992400
3488,5,25,1794600
1944,1,5,919800
3790,1,1,1810500
804,4,2,811800
3797,5,15,2083650
4768,2,8,2265600
1905,4,8,1217250
4492,3,9,2246400
1338,3,4,902100
2050,6,21,1327500
4643,5,18,2419350
3217,6,18,1897650
1824,6,21,1225800
1061,4,17,702450
4811,6,7,2779950
2564,2,5,1318800
3644,6,13,2164800
898,4,3,839100
1064,2,21,403800
1226,5,25,776700
3179,6,8,2030550
904,2,7,541800
3220,2,22,1359000
2989,1,23,1120050
3902,2,18,1725900
2019,1,16,788550
4181,3,10,2091450
4794,6,15,2652300
2584,4,9,1507800
2779,6,25,1595550
2759,1,20,1061550
4502,5,2,2595900
4004,6,17,2266800
1627,6,22,1122150
3031,5,19,1678950
1345,6,8,1205250
3621,1,13,1554450
2117,3,13,1117650
1934,2,9,975300
4643,4,13,2374350
2790,4,11,1570500
3998,5,20,2099100
859,5,5,911550
3076,3,18,1474200
1199,3,10,749550
4144,2,25,1729800
2905,5,14,1697250
1114,3,22,531300
2318,1,15,938100
3792,3,4,2006400
4818,6,22,2558100
2250,6,12,1552500
1703,1,10,736350
3945,6,5,2420250
2231,2,19,958950
1789,5,21,1090050
977,5,9,904650
3129,5,4,1948050
3254,5,5,1989300
735,1,12,270750
1198,2,17,524100
4191,4,5,2290950
1647,4,16,981150
918,5,16,773100
3336,1,20,1321200
2480,2,11,1191000
898,6,12,944100
4021,1,5,1854450
1987,6,11,1449150
4660,1,8,2097000
1204,5,2,1111800
1906,4,21,1022700
3791,5,17,2050950
4983,1,18,2092350
3720,2,6,1824000
700,1,17,180000
2124,4,14,1225800
2085,6,13,1463250
1575,6,8,1308750
1114,4,23,636300
3695,4,4,2082750
761,1,1,447450
3296,1,14,1393200
1557,4,15,955650
3515,3,23,1596750
1207,1,10,513150
2215,5,15,1371750
3840,6,1,2433000
3698,2,17,1649100
4962,2,16,2232900
2947,1,21,1131150
3478,3,19,1640100
743,1,8,334350
3423,2,9,1645350
4124,5,11,2290800
2778,5,16,1610100
3854,4,7,2109300
1433,3,13,809850
2005,3,23,917250
3322,5,15,1869900
1311,4,24,709950
2392,1,5,1121400
3602,2,7,1755900
1554,4,4,1119300
2395,6,19,1512750
1064,6,11,1033800
2478,3,25,1100100
801,3,22,390450
2628,5,21,1467600
4072,5,15,2207400
4919,6,2,2903550
902,1,23,180900
4487,6,2,2709150
3242,5,23,1713900
4366,6,24,2324700
4586,1,11,2018700
1040,5,25,693000
1987,4,25,999150
2125,1,5,1001250
3719,2,17,1658550
4291,2,11,2005950
4091,5,5,2365950
839,6,8,977550
1733,5,8,1259850
4532,3,17,2144400
861,4,13,672450
4213,3,19,1970850
2061,1,3,1002450
4664,1,10,2068800
1765,4,21,959250
4398,3,12,2159100
3958,1,1,1886100
4373,5,15,2342850
1452,2,9,758400
1442,3,7,903900
1620,3,8,969000
1829,5,24,1063050
1884,2,1,1072800
1273,1,18,422850
3906,3,18,1847700
2867,3,3,1605150
2291,4,9,1375950
2145,5,14,1355250
3435,4,16,1785750
1206,1,11,497700
4267,6,7,2535150
4747,3,14,2286150
1586,4,16,953700
3843,2,9,1834350
2349,1,8,1057050
4783,5,17,2497350
2594,5,18,1497300
4430,5,9,2458500
4293,2,18,1901850
2993,3,10,1556850
748,6,4,996600
790,5,3,910500
1456,5,1,1240200
1508,2,19,633600
3842,1,18,1578900
711,1,13,244950
1649,2,1,967050
2930,2,12,1378500
4940,3,25,2208000
2007,3,19,978150
4506,1,9,2012700
3421,3,7,1794450
2078,6,24,1295100
787,2,8,474150
1785,2,23,698250
1691,2,6,910950
886,2,23,293700
3310,5,25,1714500
2915,3,2,1641750
887,1,22,189150
1946,5,18,1205700
1496,2,15,688200
1879,3,9,1070550
3183,4,18,1642350
3715,4,25,1776750
2849,3,10,1492050
3326,3,19,1571700
3351,1,20,1327950
3318,3,9,1718100
2979,6,1,2045550
792,6,4,1016400
2385,3,5,1358250
2051,3,5,1207950
1850,5,18,1162500
938,4,5,827100
3094,4,25,1497300
1556,5,24,940200
2283,1,12,967350
953,2,8,548850
2675,3,12,1383750
1685,2,13,803250
2996,1,14,1258200
3837,6,12,2266650
2428,4,2,1542600
4871,1,17,2056950
788,2,5,519600
2831,5,8,1753950
4479,6,4,2675550
1384,3,13,787800
4479,1,4,2075550
4470,5,20,2311500
2510,5,16,1489500
3113,4,24,1520850
3527,5,20,1887150
1056,1,22,265200
2523,1,10,1105350
4706,1,10,2087700
3812,2,20,1655400
1673,5,20,1052850
4928,4,16,2457600
4489,5,9,2485050
2443,2,14,1129350
775,5,23,603750
1864,3,3,1153800
4262,6,16,2397900
4802,3,2,2490900
908,4,12,708600
2388,1,13,999600
4458,6,21,2411100
1299,3,9,809550
3239,1,10,1427550
1707,1,7,783150
4790,3,11,2350500
3534,2,24,1470300
4217,4,17,2122650
4322,3,19,2019900
1776,5,3,1354200
4470,6,19,2446500
4806,3,20,2222700
1839,4,9,1172550
3880,3,23,1761000
2351,1,3,1132950
4935,3,24,2220750
3617,3,1,1972650
3885,1,11,1703250
2844,4,5,1684800
3909,4,22,1909050
1805,4,5,1217250
732,4,19,524400
1101,4,19,690450
3903,6,14,2266350
2965,4,2,1784250
1709,6,13,1294050
2397,2,5,1243650
2507,6,17,1593150
3702,6,3,2340900
2870,4,8,1651500
4166,3,25,1859700
4053,6,21,2228850
4823,5,2,2740350
4672,1,13,2027400
1566,2,11,779700
2172,6,23,1352400
3904,1,25,1501800
4200,6,3,2565000
1876,4,12,1144200
3323,1,23,1270350
2237,1,22,796650
4882,2,17,2181900
4882,6,6,2826900
4639,5,18,2417550
4893,4,19,2396850
3847,4,13,2016150
3089,3,13,1555050
4270,1,13,1846500
2133,2,3,1154850
1028,1,12,402600
2943,6,24,1684350
1040,1,5,513000
2955,3,20,1389750
1685,3,22,788250
4095,6,19,2277750
3232,5,7,1949400
1982,5,24,1131900
2499,1,12,1064550
4489,4,18,2230050
1511,1,23,454950
2373,4,9,1412850
1428,3,12,822600
1379,4,13,905550
3546,6,24,1955700
1089,4,24,610050
1909,3,17,964050
1718,1,24,533100
2210,3,12,1174500
3729,3,14,1828050
2693,6,23,1586850
803,3,11,556350
3960,3,4,2082000
2828,5,20,1572600
3783,2,9,1807350
3741,1,4,1743450
1048,3,22,501600
1409,5,22,904050
1902,1,12,795900
1258,5,18,896100
4300,4,23,2070000
732,4,21,494400
2031,5,4,1453950
2067,4,24,1050150
1561,2,17,687450
821,6,2,1059450
4062,1,5,1872900
3615,6,1,2331750
1230,2,19,508500
817,5,14,757650
3766,1,19,1529700
4598,3,7,2324100
2773,1,8,1247850
1791,6,4,1465950
4603,5,15,2446350
4178,1,2,1970100
2456,3,23,1120200
2761,1,17,1107450
3835,4,2,2175750
4069,2,22,1741050
3012,3,2,1685400
742,2,21,258900
3043,6,3,2044350
3931,6,4,2428950
4110,6,18,2299500
1527,6,8,1287150
3975,1,21,1593750
3527,2,10,1677150
3471,5,19,1876950
1855,1,9,819750
3246,2,13,1505700
3501,1,12,1515450
2770,4,1,1711500
3926,4,15,2021700
1757,6,25,1135650
1882,3,7,1101900
3596,1,2,1708200
941,4,7,798450
1188,1,9,519600
3110,3,11,1594500
2354,4,14,1329300
3822,1,18,1569900
2866,1,16,1169700
2140,3,5,1248000
3177,2,13,1474650
3701,1,21,1470450
847,1,1,486150
736,2,25,196200
2793,6,4,1916850
3125,3,9,1631250
4524,6,21,2440800
772,2,17,332400
2209,4,22,1144050
3855,5,12,2154750
1698,2,20,704100
842,2,2,588900
4087,6,10,2409150
2874,5,11,1728300
975,3,12,618750
3322,4,7,1869900
3624,5,13,2035800
1304,5,8,1066800
1449,4,15,907050
3122,4,14,1674900
701,2,25,180450
3822,5,19,2034900
1166,6,13,1049700
4829,3,15,2308050
2329,3,17,1153050
3090,4,12,1690500
795,2,22,267750
4557,1,22,1840650
4432,2,19,1949400
3140,6,5,2058000
3142,2,16,1413900
842,5,10,828900
2513,5,21,1415850
4863,1,13,2113350
4849,1,21,1987050
2886,1,7,1313700
3296,6,4,2143200
990,4,14,715500
2018,3,22,938100
2333,5,5,1574850
1835,2,8,945750
4947,5,13,2631150
1383,5,20,922350
1263,3,9,793350
1462,4,17,882900
3655,5,21,1929750
1789,1,17,670050
1766,1,13,719700
4335,2,22,1860750
2168,6,7,1590600
4984,6,2,2932800
4353,6,21,2363850
3830,3,12,1903500
1793,4,18,1016850
1408,4,8,993600
3535,1,9,1575750
3797,6,18,2158650
2415,3,24,1086750
4967,3,22,2265150
1184,4,22,682800
2183,5,10,1432350
1760,4,19,987000
4108,2,17,1833600
4683,6,13,2632350
1261,2,1,792450
3242,4,4,1878900
2490,3,14,1270500
4890,1,21,2005500
3834,1,15,1620300
3810,4,10,2044500
4444,2,22,1909800
2856,1,18,1135200
4589,1,23,1840050
4058,2,1,2051100
3725,5,25,1901250
860,6,22,777000
1259,6,2,1256550
4661,4,24,2217450
2422,6,10,1659900
2439,3,8,1337550
3099,6,22,1784550
4500,6,24,2385000
4334,1,18,1800300
2785,4,1,1718250
2209,6,21,1399050
2543,1,21,949350
4384,1,24,1732800
1671,2,21,676950
3216,2,21,1372200
1809,6,15,1309050
2530,5,21,1423500
3510,3,21,1624500
2522,4,7,1509900
2649,1,10,1162050
2954,1,16,1209300
807,1,23,138150
3144,1,2,1504800
4443,2,8,2119350
1274,6,24,933300
1697,5,19,1078650
4319,5,3,2498550
1809,2,7,949050
3567,3,2,1935150
2047,6,1,1626150
4063,2,10,1918350
3353,2,23,1403850
1394,1,1,732300
4023,1,15,1705350
4422,4,24,2109900
3900,3,2,2085000
4719,3,19,2198550
4935,5,18,2550750
2528,4,16,1377600
1608,5,22,993600
4548,2,21,1971600
4942,2,2,2433900
2730,3,22,1258500
4769,3,25,2131050
1164,5,12,943800
3213,5,5,1970850
3537,1,14,1501650
4848,6,17,2646600
972,2,4,617400
4148,1,12,1806600
2130,2,18,928500
1387,6,13,1149150
3480,3,16,1686000
1783,4,2,1252350
3945,4,3,2210250
4583,4,5,2467350
2575,1,5,1203750
1084,1,16,367800
1426,5,6,1151700
4446,4,11,2315700
4122,6,21,2259900
3974,5,24,2028300
1352,4,22,758400
4639,2,20,2027550
4734,3,3,2445300
1595,6,25,1062750
2652,6,16,1673400
4628,5,13,2487600
4658,3,6,2366100
1604,1,18,571800
2186,1,19,818700
3572,4,4,2027400
4167,3,1,2220150
3756,5,14,2080200
4428,6,8,2592600
4678,3,20,2165100
4833,2,5,2339850
3906,5,16,2117700
3719,4,12,1973550
1183,4,16,772350
1465,4,4,1079250
1016,2,20,397200
1374,6,13,1143300
3709,5,9,2134050
4534,5,13,2445300
2708,5,5,1743600
1588,3,23,729600
1214,3,21,591300
2169,1,9,961050
1938,6,25,1217100
3560,1,25,1347000
2067,3,16,1050150
1151,1,22,307950
2611,3,9,1399950
3882,6,18,2196900
3918,6,20,2183100
1187,4,11,849150
4515,6,9,2616750
3586,4,7,1988700
4283,1,1,2032350
1412,1,19,470400
4756,4,18,2350200
